Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Panerai,Luminor Base Logo,Stainless Steel,Leather,Manual,100 meters,44,10.5,22,Black,Sapphire,None,56 hours,"3,900"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,11.9,22,Black,Sapphire,None,70 hours,"3,500"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,GMT,48 hours,"14,000"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,12.5,20,Black,Sapphire,Date,42 hours,"4,800"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,None,70 hours,"7,500"
Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100 meters,42,9.3,22,Black,Sapphire,None,"4,200",
Montblanc,1858 Geosphere,Stainless Steel,Leather,Automatic,100 meters,42,11.2,22,Black,Sapphire,"World Time, GMT",42 hours,"6,200"
Cartier,Santos-Dumont,Stainless Steel,Leather,Quartz,30 meters,38,7.5,18,Silver,Sapphire,None,N/A,"3,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,Date,60 hours,"21,000"
Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36,12,20,Silver,Sapphire,Date,70 hours,"9,000"
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,250"
IWC,Portugieser,Stainless Steel,Alligator,Automatic,30 meters,40.4,12.3,20,Silver,Sapphire,Date,60 hours,"8,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,Date,60 hours,"17,800"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"11,500"
Zenith,El Primero,Stainless Steel,Alligator,Automatic,100 meters,42,12.75,20,Silver,Sapphire,Chronograph,50 hours,"6,500"
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,None,45 hours,"23,500"
Piaget,Polo S,Stainless Steel,Stainless Steel,Automatic,100 meters,42,9.4,24,Blue,Sapphire,Date,50 hours,"10,000"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44,12.5,22,Blue,Sapphire,Date,60 hours,"9,500"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,20,Silver,Sapphire,Date,60 hours,"21,500"
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43,12.27,23,Black,Sapphire,None,68 hours,"9,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"19,900"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,22,Black,Sapphire,Date,120 hours,"14,400"
Breguet,Type XXI,Stainless Steel,Leather,Automatic,100 meters,42,13.85,22,Silver,Sapphire,Chronograph,48 hours,"9,500"
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,100 meters,40,5.15,28,Black,Sapphire,None,60 hours,"12,800"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44,13.7,20,Black,Sapphire,Chronograph,42 hours,"6,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,20,Blue,Sapphire,None,54 hours,"7,800"
Glashütte Original,Senator,Stainless Steel,Leather,Automatic,50 meters,42,12.2,21,Silver,Sapphire,None,40 hours,"9,200"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42,9.3,20,Black,Sapphire,None,42 hours,"6,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,None,60 hours,"8,400"
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43,12.13,23,Silver,Sapphire,None,68 hours,"6,200"
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.3,20,Blue,Sapphire,Date,42 hours,"1,600"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,Date,45 hours,"29,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"24,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,None,60 hours,"7,950"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42,10.5,22,Black,Sapphire,None,42 hours,"8,200"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"11,500"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42,13.1,22,Silver,Sapphire,Chronograph,50 hours,"9,400"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,25,Blue,Sapphire,None,54 hours,"6,700"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,11.43,20,Black,Sapphire,Chronograph,42 hours,"6,100"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,Date,60 hours,"16,300"
Montblanc,1858,Stainless Steel,Leather,Automatic,100 meters,42,12.8,22,Black,Sapphire,None,38 hours,"3,600"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,300 meters,44,12.5,22,Black,Sapphire,Date,60 hours,"9,500"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.2,20,Silver,Sapphire,Date,70 hours,"8,900"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,"Date, Moon Phase",48 hours,"44,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"17,000"
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41,12.7,22,Black,Sapphire,None,70 hours,"4,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,"Chronograph, Date",46 hours,"8,300"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,13.05,24,Black,Sapphire,"Date, Second Time Zone",72 hours,"8,900"
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,43.6,13.83,23,Black,Sapphire,"Date, Unidirectional Bezel",120 hours,"12,000"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45,10.95,24,Blue,Sapphire,Date,42 hours,"7,500"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42,14.05,22,Silver,Sapphire,"Chronograph, Date",50 hours,"6,900"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41,11,20,Blue,Sapphire,"Date, Second Time Zone",60 hours,"15,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Black,Sapphire,None,54 hours,"11,200"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,39,9.4,20,Blue,Sapphire,"Date, Power Reserve Indicator",60 hours,"18,900"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,Date,45 hours,"49,800"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,12.5,20,Black,Sapphire,"Date, Chronograph",44 hours,"5,500"
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44,15.65,24,Black,Sapphire,Date,72 hours,"9,600"
Breguet,Type XX,Stainless Steel,Leather,Automatic,100 meters,39.5,14.1,20,Black,Sapphire,"Date, Chronograph, Flyback",48 hours,"8,800"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,43,13.4,23,Black,Sapphire,Date,120 hours,"14,700"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"10,600"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,20,Black,Sapphire,Date,60 hours,"19,200"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.15,19,Silver,Sapphire,Chronograph,50 hours,"7,500"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,12.67,20,Black,Sapphire,Chronograph,48 hours,"5,600"
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,43,12.75,22,Blue,Sapphire,Date,64 hours,"1,400"
Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,300 meters,40,13,20,Black,Sapphire,Date,48 hours,"9,500"
Omega,Seamaster,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21,Blue,Sapphire,Date,60 hours,"5,800"
Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100 meters,41,13,20,White,Sapphire,Chronograph,42 hours,"4,200"
Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30 meters,43,14.25,22,Black,Sapphire,Chronograph,70 hours,"7,900"
Cartier,Tank Solo,Stainless Steel,Leather,Quartz,30 meters,31,6.05,20,Silver,Sapphire,None,N/A,"2,800"
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20,Black,Sapphire,None,45 hours,"5,500"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.75,22,Black,Sapphire,Date,70 hours,"3,500"
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,42.3,13.4,22,Blue,Hardlex,None,50 hours,650
Citizen,Promaster,Titanium,Titanium,Eco-Drive,200 meters,46.5,15,23,Black,Sapphire,Chronograph,210 days,995
Hamilton,Khaki Field Auto,Stainless Steel,Leather,Automatic,100 meters,38,9.85,20,Black,Sapphire,None,80 hours,545
Bulova,Precisionist,Stainless Steel,Stainless Steel,Quartz,300 meters,46.5,17.5,24,Black,Mineral,Chronograph,N/A,650
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,500"
Breitling,Superocean Heritage,Stainless Steel,Rubber,Automatic,200 meters,42,14.35,22,Black,Sapphire,Date,38 hours,"4,800"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40,8.8,20,Silver,Sapphire,Date,70 hours,"6,500"
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,21.5,Silver,Sapphire,Date,42 hours,"7,500"
Zenith,Elite,Stainless Steel,Leather,Automatic,50 meters,40.5,9.15,20,Silver,Sapphire,None,50 hours,"4,500"
Panerai,Luminor Base,Stainless Steel,Leather,Manual,100 meters,44,10.5,24,Black,Sapphire,None,56 hours,"5,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Silver,Sapphire,Date,60 hours,"21,000"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,10.86,20,Black,Sapphire,Date,42 hours,"3,800"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,Date,70 hours,"3,900"
Longines,Conquest VHP,Stainless Steel,Stainless Steel,Quartz,50 meters,41,12.1,20,Black,Sapphire,"Chronograph, Date",N/A,"1,500"
Sinn,U1,Stainless Steel,Rubber,Automatic,1000 meters,44,14.3,22,Black,Sapphire,None,38 hours,"2,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,"Date, Power Reserve, Moon Phase",45 hours,"38,000"
Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"55,000"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,"Date, Power Reserve",40 hours,"21,000"
A. Lange & Sohne,Saxonia,White Gold,Leather,Manual,30 meters,38.5,7.8,18,Silver,Sapphire,None,45 hours,"23,000"
Breguet,Classique,Rose Gold,Leather,Manual,30 meters,38.5,8.25,20,Silver,Sapphire,Power Reserve,65 hours,"23,000"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,None,60 hours,"8,500"
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"14,000"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Blue,Sapphire,Chronograph,72 hours,"16,000"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,15.65,24,Black,Sapphire,None,72 hours,"8,500"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,Silver,Sapphire,Chronograph,50 hours,"6,000"
Piaget,Altiplano,White Gold,Leather,Manual,30 meters,38,6.1,20,Silver,Sapphire,None,43 hours,"16,500"
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,12.7,20,Blue,Sapphire,Day/Date,41 hours,"1,200"
Panerai,Luminor Due,Stainless Steel,Leather,Automatic,30 meters,38,11.2,20,Black,Sapphire,None,72 hours,"6,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,"Chronograph, Moon Phase",46 hours,"9,800"
Blancpain,Fifty Fathoms,Titanium,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,None,120 hours,"16,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.5,20,Black,Sapphire,Date,60 hours,"19,800"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,Date,45 hours,"47,000"
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,40,6.8,20,White,Sapphire,None,55 hours,"19,000"
Vacheron Constantin,Patrimony,18K White Gold,Leather,Manual,30 meters,40,6.79,20,Silver,Sapphire,None,65 hours,"18,500"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44,14.97,22,Black,Sapphire,Chronograph,42 hours,"5,800"
Longines,Conquest,Stainless Steel,Stainless Steel,Automatic,300 meters,41,13.2,20,Black,Sapphire,Chronograph,54 hours,"2,200"
Montblanc,1858,Stainless Steel,Leather,Manual,30 meters,44,12.3,22,Black,Sapphire,None,50 hours,"3,500"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,"GMT, Date",70 hours,"9,950"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.7,20,Black,Hesalite,Chronograph,48 hours,"4,950"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,Date,45 hours,"38,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"22,000"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,None,46 hours,"7,500"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,Date,70 hours,"8,900"
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"13,900"
Breguet,Classique,Rose Gold,Leather,Manual,30 meters,40,6.8,20,Silver,Sapphire,None,65 hours,"20,500"
Ulysse Nardin,Marine,Titanium,Rubber,Automatic,300 meters,44,14.5,22,Blue,Sapphire,Date,60 hours,"9,500"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41,14.5,20,Black,Sapphire,Chronograph,72 hours,"16,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.75,20,White,Sapphire,Chronograph,50 hours,"5,500"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.8,20,Black,Sapphire,Date,70 hours,"8,200"
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42,13.2,20,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,500"
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,33,9.96,18,Silver,Sapphire,Date,42 hours,"6,500"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,500 meters,42,13.32,20,Blue,Sapphire,Date,38 hours,"3,600"
Patek Philippe,Calatrava,Rose Gold,Leather,Manual,30 meters,36,7.45,18,White,Sapphire,None,44 hours,"18,000"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,42,14.5,24,Black,Sapphire,"Chronograph, Date",72 hours,"8,900"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,"Date, Rotating Bezel",120 hours,"13,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"26,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,22,Black,Sapphire,Chronograph,50 hours,"6,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.5,12.3,22,Silver,Sapphire,None,60 hours,"7,800"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,38,7.58,20,Silver,Sapphire,None,70 hours,"4,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"29,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,Date,60 hours,"23,100"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,None,60 hours,"7,950"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11,22,Blue,Sapphire,Date,40 hours,"18,900"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"12,800"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44,14.5,26,Black,Sapphire,Chronograph,72 hours,"17,900"
Breguet,Classique,18k Rose Gold,Leather,Manual,30 meters,39,8.65,20,Silver,Sapphire,None,40 hours,"15,200"
Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,14.2,22,Blue,Sapphire,Date,60 hours,"8,400"
Zenith,Defy,Titanium,Rubber,Automatic,100 meters,41,10.75,22,Blue,Sapphire,Chronograph,50 hours,"9,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Silver,Sapphire,None,46 hours,"9,200"
Panerai,Luminor,Stainless Steel,Leather,Manual,100 meters,44,13.05,24,Black,Sapphire,None,56 hours,"7,500"
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,43,13.2,22,Blue,Hardlex,Date,50 hours,"1,300"
Tissot,Le Locle,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,20,Silver,Sapphire,Date,38 hours,650
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40,10.25,20,Black,Sapphire,Date,64 hours,"2,500"
Hamilton,Jazzmaster,Stainless Steel,Leather,Automatic,50 meters,40,11.15,20,Silver,Sapphire,Date,80 hours,"1,150"
Montblanc,Heritage,Stainless Steel,Leather,Automatic,50 meters,40,9.85,20,Silver,Sapphire,Date,42 hours,"2,750"
Rado,True Thinline,High-Tech Ceramic,Leather,Quartz,30 meters,39,5,22,Black,Sapphire,None,N/A,"1,600"
Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50 meters,40,10.5,20,Silver,Sapphire,Date,38 hours,"1,400"
Zenith,Elite,Stainless Steel,Leather,Automatic,50 meters,40.5,8.15,22,White,Sapphire,Date,50 hours,"5,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,25,Black,Sapphire,Date,46 hours,"8,700"
Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50 meters,42,11.15,20,Blue,Sapphire,Date,60 hours,"7,900"
Sinn,U50,German Submarine Steel,Silicone,Automatic,500 meters,45,14.7,22,Black,Sapphire,None,38 hours,"3,350"
Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36,12.5,20,Black,Sapphire,Date,70 hours,"8,000"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.5,20,Black,Sapphire,Chronograph,60 hours,"6,500"
Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30 meters,33,9.96,16,Silver,Sapphire,Date,42 hours,"4,500"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,43,10.8,20,Blue,Sapphire,None,N/A,"1,800"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,2000 meters,42,13.32,20,Blue,Sapphire,Date,38 hours,"3,600"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,Date,60 hours,"8,900"
Panerai,Luminor Marina,Titanium,Leather,Manual,300 meters,44,13.05,24,Black,Sapphire,None,56 hours,"5,700"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"34,000"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,None,43 hours,"6,800"
Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100 meters,41,9.7,22,Black,Sapphire,Date,40 hours,"2,500"
Montblanc,1858,Bronze,Leather,Automatic,100 meters,44,12.8,22,Black,Sapphire,None,42 hours,"5,300"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"34,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,Date,60 hours,"22,000"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41,11,21,Blue,Sapphire,Date,60 hours,"17,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,13.1,22,Silver,Sapphire,Date,60 hours,"8,500"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.5,14.5,22,Black,Sapphire,Chronograph,72 hours,"15,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.4,19,White,Sapphire,Chronograph,50 hours,"6,000"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,12.67,20,Black,Sapphire,Chronograph,48 hours,"5,000"
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44,13.05,24,Black,Sapphire,None,72 hours,"8,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"9,000"
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45,15.5,23,Black,Sapphire,None,120 hours,"12,500"
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30 meters,40,5.5,21,Black,Sapphire,None,55 hours,"10,000"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,Date,70 hours,"3,800"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,13.05,22,Black,Sapphire,Date,72 hours,"8,900"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,Chronograph,72 hours,"16,800"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.9,12.3,20,Silver,Sapphire,Date,44 hours,"6,900"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"24,500"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11,21,Silver,Sapphire,Date,40 hours,"19,500"
Breguet,Classique,18k White Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,Date,55 hours,"24,500"
Piaget,Altiplano,18k Rose Gold,Leather,Manual,30 meters,38,6,20,White,Sapphire,None,43 hours,"20,800"
